entry,eLink,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Calib,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
1,7,0,0,0,106985472,41950208,15360,0,0,19944448,31462400,70278144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2102272,0,0,3159040,0,44032,0,0,0
1,8,79706112,46175232,0,8441856,0,0,0,14689280,38867968,13312,0,0,15765504,77608960,89212928,0,0,0,88144896,18918400,25380071,65022976,54535168,0,0,15863010,1055744,63974400,101729280,0,0,26241024,104876032,101845209,95499264,0,0
1,9,17408,161991,2170558690,164067,5324026,5257216,21028864,1107968,36864,9216,46145536,32515072,9452544,79797479,88144896,41984,7348224,91561186,40903680,131094528,29366272,37801984,74636519,16949479,2176847077,24129536,195069952,334573568,70317056,2147485924,54674654,50339840,1092691968,1111611392,80755712,98692330,36739072
1,10,0,11556864,50393088,112295124,0,55296,0,125846528,298896384,38865920,0,0,56643584,0,13312,27269120,0,0,89212928,0,0,88095744,58730496,0,0,0,0,76559360,33559552,0,0,0,0,0,0,0,0
1,11,186680320,1075967202,150027264,17408,60827648,1077979136,108048384,0,137389056,0,0,116467712,71313408,155217920,40903680,12599296,111221760,31463424,13312,0,0,20480,39936,22029312,0,11577344,0,56633344,25600,0,0,0,0,6334464,3183616,76570624,0
2,0,0,0,0,40927232,0,0,35657728,0,33559552,0,0,0,40900608,0,81803264,43000832,0,0,81803264,42998784,0,0,0,0,33792,2124800,17891328,0,18432,0,67584,0,20982784,1068032,0,0,0
2,1,0,0,53248,13312,16791552,12288,43008,112851,52224,0,24123392,43039744,5120,12288,1279180,12288,0,0,1279180,0,1060864,24576,1354962,0,72388608,0,0,0,21024768,1059840,0,10500096,0,12288,0,62927872,0
2,2,17408,60416,57344,0,0,0,0,0,0,0,0,0,0,53248,0,49291264,0,53486592,0,3184640,12288,21504,0,0,32510976,0,0,0,0,0,0,0,0,0,0,36864,0
2,3,0,0,0,0,0,11264,0,0,36706304,0,16790528,1058816,59774976,0,17408,209752064,0,44047360,17408,0,0,0,0,0,34609152,0,12588032,0,0,0,6304768,0,0,0,0,0,0
2,4,1060864,0,0,50339840,7355392,0,0,0,0,0,30413824,26624,12288,0,0,0,2171904,0,0,8399872,0,0,0,0,0,0,0,0,49291264,0,124801024,0,3158016,1257674,8192,0,0
